artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,cluster,context,rank,URL_Couverture_Album
Mýa,Case Of The Ex (Whatcha Gonna Do),236906,False,2000,59,0.772,0.688,1,-4.715,minor,0.0405,0.0548,9.79e-05,0.0725,0.348,98.0,pop,3,Sport,19,https://i.scdn.co/image/ab67616d0000b273c13c11052ccc0864c1595c73
Mary Mary,Shackles (Praise You),198346,False,2000,64,0.779,0.834,7,-2.773,major,0.162,0.0343,0.0,0.0886,0.8,100.46,r&b,1,Détente,15,https://i.scdn.co/image/ab67616d0000b27385ba427424ce99a14c88685e
Next,Wifey,243666,False,2004,52,0.829,0.652,7,-8.693,minor,0.108,0.067,0.0,0.0812,0.726,99.581,hip hop,1,Détente,26,https://i.scdn.co/image/ab67616d0000b27351c54f58318ccd323b6adb25
Janet Jackson,Doesn't Really Matter,265026,False,2001,47,0.771,0.796,5,-3.081,minor,0.076,0.0993,0.00278,0.0981,0.801,99.316,pop,1,Détente,32,https://i.scdn.co/image/ab67616d0000b27312da16fd0dec009d45f7dca3
Ricky Martin,She Bangs - English Version,280626,False,2000,60,0.63,0.95,1,-4.012,major,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,pop,1,Détente,18,https://i.scdn.co/image/ab67616d0000b2737067e13923911540f8bb7218
Jagged Edge,He Can't Love U,244053,False,2000,55,0.721,0.836,8,-3.972,minor,0.206,0.112,0.0,0.235,0.508,126.279,hip hop,1,Détente,23,https://i.scdn.co/image/ab67616d0000b273063541784bc7b024017cee8a
Sisqo,Incomplete,274226,True,1999,60,0.746,0.443,1,-7.693,minor,0.0771,0.282,0.0,0.14,0.272,119.311,hip hop,3,Sport,16,https://i.scdn.co/image/ab67616d0000b273fd45ab4cf2c606ddce4c9692
JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,True,2000,59,0.8,0.922,4,-5.125,minor,0.24,0.301,9.31e-06,0.0352,0.801,98.631,hip hop,1,Détente,19,https://i.scdn.co/image/ab67616d0000b273d6351422ffb0384cbd6af29c
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,False,1999,59,0.348,0.532,10,-5.882,major,0.0331,0.592,0.0,0.106,0.148,129.297,pop,2,Fêtes,17,https://i.scdn.co/image/ab67616d0000b2738ed130c0fbcf25117916f6d8
Baha Men,Who Let The Dogs Out,198400,False,2000,65,0.869,0.887,0,-4.505,major,0.0993,0.0605,0.0,0.148,0.784,129.221,r&b,1,Détente,14,https://i.scdn.co/image/ab67616d0000b27336c901204dd54a716c64932b
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,True,1999,63,0.854,0.543,8,-6.166,minor,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,pop,1,Détente,13,https://i.scdn.co/image/ab67616d0000b2733b970f005df5b59e8ec25d5e
LeAnn Rimes,Can't Fight The Moonlight,215506,False,2001,65,0.628,0.834,6,-6.341,minor,0.0497,0.403,0.0,0.051,0.626,97.865,pop,1,Détente,14,https://i.scdn.co/image/ab67616d0000b2735cf523cc3dd38a682bf9cd7e
Oasis,Go Let It Out,278666,False,2000,0,0.408,0.849,2,-5.631,major,0.0333,0.0136,2.51e-05,0.56,0.628,84.192,folk/acoustic,3,Sport,32,https://i.scdn.co/image/ab67616d0000b273ce2be7cd7f7d3b3280faae02
DJ Ötzi,Hey Baby (Radio Mix),219240,False,2010,58,0.666,0.968,10,-3.196,major,0.046,0.123,0.0,0.347,0.834,135.099,pop,1,Détente,23,https://i.scdn.co/image/ab67616d0000b27302577bdef59f3136d3e4ddcf
P!nk,Most Girls,298960,False,2000,52,0.742,0.732,2,-6.046,minor,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop,1,Détente,26,https://i.scdn.co/image/ab67616d0000b27357b84aeb215c8fa5412fcc3e
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,False,2011,0,0.471,0.514,1,-5.599,major,0.0315,0.584,0.0,0.103,0.373,117.338,pop,2,Fêtes,35,https://i.scdn.co/image/ab67616d0000b2732f8b4699015f9abb4aed5504
Craig David,Fill Me In,257200,False,2000,60,0.682,0.744,8,-6.981,major,0.0365,0.376,0.00951,0.06,0.827,132.493,hip hop,3,Sport,18,https://i.scdn.co/image/ab67616d0000b2737c2e92fb2302f8e8fcd9b389
Christina Aguilera,I Turn to You,273706,False,1999,61,0.599,0.47,1,-8.356,major,0.0376,0.38,0.0,0.111,0.298,127.177,pop,2,Fêtes,15,https://i.scdn.co/image/ab67616d0000b273f89996e214be1763b2a9e948
Madonna,American Pie,273533,False,2000,58,0.631,0.734,5,-7.48,minor,0.036,0.348,0.0,0.135,0.591,124.036,pop,3,Sport,20,https://i.scdn.co/image/ab67616d0000b273ae80b0a207008fe96637032c
Red Hot Chili Peppers,Otherside,255373,False,1999,78,0.458,0.795,0,-3.265,major,0.0574,0.00316,0.000202,0.0756,0.513,123.229,rock,3,Sport,3,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595
Sammie,I Like It,251040,False,2000,55,0.826,0.656,9,-8.529,major,0.0617,0.0101,0.000113,0.0272,0.852,129.963,hip hop,1,Détente,23,https://i.scdn.co/image/ab67616d0000b2731f6efa6ca802629b56e6614b
Craig David,7 Days,235133,False,2000,70,0.659,0.812,4,-7.499,minor,0.0487,0.23,0.0,0.0951,0.888,83.014,hip hop,1,Détente,10,https://i.scdn.co/image/ab67616d0000b2737c2e92fb2302f8e8fcd9b389
Santana,Maria Maria (feat. The Product G&B),261973,False,1999,66,0.777,0.601,2,-5.931,major,0.126,0.0406,0.00201,0.0348,0.68,97.911,rock,1,Détente,10,https://i.scdn.co/image/ab67616d0000b27347eb3ea5a92904c19e102e54
Kandi,Don't Think I'm Not,243533,False,2000,55,0.859,0.622,11,-8.196,major,0.0445,0.0661,0.0,0.0394,0.433,134.007,pop,3,Sport,23,https://i.scdn.co/image/ab67616d0000b27345dbddfa05dbb6bde7644951
P!nk,There You Go,202800,False,2000,55,0.822,0.847,10,-6.729,minor,0.0917,0.0854,0.0,0.0452,0.668,107.908,pop,1,Détente,23,https://i.scdn.co/image/ab67616d0000b27357b84aeb215c8fa5412fcc3e
Vengaboys,Shalala Lala,214819,False,2000,58,0.751,0.901,2,-5.802,major,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop,1,Détente,20,https://i.scdn.co/image/ab67616d0000b273308c6fa6c5d0d53668d25865
Ronan Keating,Life Is A Rollercoaster,234826,False,2000,59,0.655,0.791,0,-8.923,major,0.0302,0.1,0.000124,0.334,0.862,118.981,pop,1,Détente,19,https://i.scdn.co/image/ab67616d0000b2734acaf50f8a03a6972b555d7e
